event_id,user_id,event_timestamp,event_name,experiment_group,device,traffic_source,session_id
E00000511,U000258,2026-07-10 15:38:05.111630532,purchase,control,mobile,email,S_U000258_1783496774
E00032523,U017672,2026-07-03 10:24:43.758548860,payment_attempt,treatment,mobile,email,S_U017672_1783074103
E00001749,U000938,2026-07-02 09:21:27.583777546,checkout_view,control,desktop,organic,S_U000938_1782984087
E00002437,U001311,2026-07-01 10:14:37.576282850,payment_attempt,control,desktop,email,S_U001311_1782899677
E00034771,U018888,2026-07-05 13:42:36.039765552,checkout_view,control,desktop,paid_search,S_U018888_1783258956
E00022939,U012434,2026-07-10 16:19:41.090810122,payment_attempt,control,desktop,paid_search,S_U012434_1783700021
E00026079,U014180,2026-07-07 18:33:07.824347610,payment_attempt,control,mobile,paid_search,S_U014180_1783447807
E00016661,U009002,2026-07-10 04:06:19.839406936,checkout_view,treatment,desktop,organic,S_U009002_1783656379
E00018156,U009807,2026-07-01 02:19:30.554239768,payment_attempt,control,mobile,social,S_U009807_1782870990
E00008991,U004825,2026-07-08 08:25:10.706234326,checkout_view,control,mobile,organic,S_U004825_1783499110
E00033572,U018239,2026-07-03 00:23:30.793987892,payment_attempt,control,mobile,social,S_U018239_1783037430
E00018289,U009878,2026-07-06 03:06:43.799124486,checkout_view,control,tablet,organic,S_U009878_1783307203
E00008773,U004708,2026-07-02 15:44:02.903015572,purchase,treatment,desktop,organic,S_U004708_1783006336
E00026473,U014386,2026-07-05 03:05:53.472111394,checkout_view,treatment,mobile,paid_search,S_U014386_1783220753
E00008647,U004637,2026-07-07 10:25:52.147392972,payment_attempt,control,mobile,direct,S_U004637_1783418812
E00016531,U008932,2026-07-12 15:44:14.824354212,checkout_view,control,mobile,organic,S_U008932_1783871054
E00019210,U010380,2026-07-14 21:00:28.890547184,checkout_view,control,desktop,organic,S_U010380_1784062828
E00007484,U004002,2026-07-08 19:26:57.790810608,checkout_view,control,mobile,direct,S_U004002_1783538817
E00020194,U010938,2026-07-09 09:40:35.342332622,checkout_view,control,desktop,email,S_U010938_1783590035
E00027664,U015013,2026-07-14 18:12:41.849426642,checkout_view,treatment,desktop,direct,S_U015013_1784052761
E00031784,U017269,2026-07-13 05:11:41.514154100,payment_attempt,treatment,mobile,social,S_U017269_1783918721
E00026665,U014484,2026-07-13 23:06:29.844977108,checkout_error,treatment,mobile,social,S_U014484_1783983983
E00005230,U002799,2026-07-13 12:40:59.459896786,payment_attempt,control,mobile,organic,S_U002799_1783945019
E00027005,U014669,2026-07-09 03:26:40.512696820,checkout_view,treatment,desktop,email,S_U014669_1783567600
E00033973,U018454,2026-07-01 18:46:42.952542104,checkout_view,control,mobile,paid_search,S_U018454_1782931602
E00025013,U013571,2026-07-01 08:22:56.690509676,payment_attempt,treatment,mobile,direct,S_U013571_1782893456
E00021016,U011396,2026-07-08 12:45:38.177188990,payment_attempt,control,mobile,social,S_U011396_1783513598
E00034684,U018843,2026-07-13 23:10:28.715466064,checkout_view,control,mobile,paid_search,S_U018843_1783984228
E00006911,U003697,2026-07-03 23:48:30.221589106,checkout_view,control,mobile,email,S_U003697_1783122510
E00025301,U013742,2026-07-11 15:41:44.664293544,checkout_view,control,mobile,organic,S_U013742_1783784504
E00028586,U015526,2026-07-09 20:50:38.690343774,payment_failure,control,desktop,social,S_U015526_1783628754
E00025902,U014083,2026-07-14 11:45:27.407594772,payment_attempt,treatment,mobile,social,S_U014083_1784029287
E00000526,U000265,2026-07-05 19:30:37.654302028,checkout_view,treatment,mobile,social,S_U000265_1783279837
E00014082,U007603,2026-07-07 18:49:19.216138584,payment_attempt,treatment,tablet,paid_search,S_U007603_1783448719
E00016829,U009091,2026-07-06 10:06:50.898943704,checkout_view,treatment,mobile,paid_search,S_U009091_1783332410
E00015390,U008320,2026-07-14 23:10:29.148485906,payment_attempt,treatment,mobile,organic,S_U008320_1784070029
E00007988,U004269,2026-07-14 05:07:24.725208252,payment_attempt,control,desktop,organic,S_U004269_1784005224
E00034852,U018938,2026-07-07 06:51:22.662948086,checkout_view,treatment,tablet,direct,S_U018938_1783407082
E00027518,U014941,2026-07-05 23:34:16.983283356,checkout_view,control,mobile,organic,S_U014941_1783294456
E00002213,U001189,2026-07-02 02:20:20.550802858,checkout_view,treatment,desktop,paid_search,S_U001189_1782958820
E00011033,U005924,2026-07-08 21:51:42.873290118,checkout_view,control,tablet,email,S_U005924_1783547502
E00017654,U009538,2026-07-05 13:37:29.093262748,checkout_view,treatment,mobile,direct,S_U009538_1783258649
E00010886,U005834,2026-07-02 11:30:57.479172888,purchase,control,mobile,organic,S_U005834_1782988496
E00008625,U004627,2026-07-07 18:03:50.942775756,payment_attempt,control,mobile,organic,S_U004627_1783446470
E00015129,U008178,2026-07-14 08:00:25.750309558,payment_attempt,control,desktop,paid_search,S_U008178_1784015845
E00012636,U006822,2026-07-07 01:08:29.957436464,checkout_view,control,desktop,organic,S_U006822_1783386509
E00001454,U000772,2026-07-04 01:43:32.673336090,checkout_view,control,mobile,paid_search,S_U000772_1783129412
E00025335,U013764,2026-07-08 15:37:52.932633774,checkout_view,treatment,desktop,direct,S_U013764_1783525072
E00023842,U012937,2026-07-10 14:55:33.722078586,checkout_view,treatment,mobile,direct,S_U012937_1783695333
E00005121,U002741,2026-07-03 07:39:13.879732630,checkout_view,control,mobile,paid_search,S_U002741_1783064353
E00020250,U010976,2026-07-12 11:45:11.048030934,checkout_view,control,mobile,social,S_U010976_1783856711
E00004435,U002391,2026-07-09 00:27:53.569485552,payment_failure,control,mobile,organic,S_U002391_1783556705
E00018863,U010188,2026-07-14 20:23:39.686575664,checkout_view,control,tablet,organic,S_U010188_1784060619
E00000043,U000021,2026-07-06 07:14:32.735396364,checkout_view,control,mobile,organic,S_U000021_1783322072
E00034911,U018966,2026-07-05 14:59:23.395832719,payment_attempt,control,mobile,paid_search,S_U018966_1783262483
E00000874,U000451,2026-07-08 08:53:47.616477546,checkout_view,treatment,mobile,paid_search,S_U000451_1783500827
E00014861,U008031,2026-07-11 01:35:01.320030464,checkout_view,treatment,mobile,email,S_U008031_1783733701
E00032046,U017421,2026-07-09 19:22:43.684374210,checkout_view,treatment,desktop,email,S_U017421_1783624963
E00006578,U003520,2026-07-14 19:24:16.883546730,payment_attempt,control,mobile,organic,S_U003520_1784056636
E00029722,U016122,2026-07-05 14:29:16.408629618,checkout_view,control,mobile,organic,S_U016122_1783261756
E00017657,U009539,2026-07-06 16:54:53.602669482,payment_attempt,control,desktop,paid_search,S_U009539_1783355573
E00030453,U016525,2026-07-02 05:48:45.469736236,payment_attempt,treatment,desktop,paid_search,S_U016525_1782971085
E00007460,U003988,2026-07-11 21:28:53.069076896,purchase,treatment,mobile,organic,S_U003988_1783804456
E00011622,U006257,2026-07-07 05:19:02.902956710,checkout_view,treatment,mobile,paid_search,S_U006257_1783401542
E00003974,U002131,2026-07-12 04:28:00.873721552,payment_attempt,control,mobile,paid_search,S_U002131_1783830240
E00027948,U015168,2026-07-09 23:51:22.880429104,payment_attempt,treatment,mobile,social,S_U015168_1783640062
E00028494,U015471,2026-07-11 23:40:20.046103722,purchase,treatment,mobile,email,S_U015471_1783812630
E00016314,U008808,2026-07-01 20:26:41.998124858,checkout_view,treatment,desktop,social,S_U008808_1782937601
E00031220,U016950,2026-07-11 04:57:30.473773912,payment_attempt,control,mobile,email,S_U016950_1783745010
E00009076,U004879,2026-07-14 12:49:28.811386950,purchase,treatment,desktop,organic,S_U004879_1784032324
E00015960,U008614,2026-07-04 23:16:57.326589600,checkout_view,treatment,mobile,paid_search,S_U008614_1783207017
E00036182,U019671,2026-07-01 13:59:08.000795502,checkout_view,treatment,desktop,email,S_U019671_1782914348
E00000045,U000022,2026-07-11 04:53:08.786951820,checkout_view,control,mobile,paid_search,S_U000022_1783745588
E00035312,U019180,2026-07-09 02:20:25.011972332,payment_attempt,treatment,mobile,direct,S_U019180_1783562185
E00020717,U011235,2026-07-14 14:57:34.333966386,checkout_view,treatment,desktop,paid_search,S_U011235_1784041054
E00002779,U001504,2026-07-03 12:42:55.227917110,payment_attempt,treatment,mobile,paid_search,S_U001504_1783081435
E00012309,U006645,2026-07-12 20:50:13.908855712,payment_attempt,treatment,desktop,organic,S_U006645_1783888813
E00015475,U008359,2026-07-12 21:17:08.936160564,payment_attempt,control,mobile,paid_search,S_U008359_1783890908
E00004545,U002447,2026-07-01 13:55:38.717350526,payment_attempt,control,mobile,social,S_U002447_1782913238
E00019113,U010332,2026-07-03 18:18:15.458750832,checkout_view,treatment,desktop,paid_search,S_U010332_1783102695
E00022271,U012069,2026-07-02 02:05:58.167364884,payment_attempt,control,mobile,paid_search,S_U012069_1782957538
E00036238,U019703,2026-07-05 17:30:38.756453696,checkout_view,treatment,mobile,organic,S_U019703_1783272638
E00005726,U003068,2026-07-07 18:53:18.170259250,checkout_view,control,tablet,paid_search,S_U003068_1783450398
E00001176,U000616,2026-07-13 02:33:00.074858168,purchase,control,mobile,organic,S_U000616_1783908701
E00022560,U012232,2026-07-13 00:43:59.942949658,checkout_view,control,mobile,organic,S_U012232_1783903439
E00000752,U000382,2026-07-06 21:38:30.390089132,checkout_view,treatment,desktop,email,S_U000382_1783373910
E00002407,U001293,2026-07-08 18:41:30.056512410,checkout_view,control,desktop,direct,S_U001293_1783536090
E00011419,U006134,2026-07-12 12:22:01.877510550,purchase,control,desktop,organic,S_U006134_1783857737
E00007339,U003923,2026-07-12 18:01:20.949851924,checkout_view,treatment,mobile,social,S_U003923_1783879280
E00010376,U005566,2026-07-06 02:16:49.461063272,checkout_view,control,mobile,direct,S_U005566_1783304209
E00015957,U008613,2026-07-11 17:57:52.092067026,checkout_view,control,mobile,organic,S_U008613_1783792672
E00032248,U017524,2026-07-14 14:46:06.374256992,checkout_view,control,mobile,organic,S_U017524_1784040366
E00001275,U000672,2026-07-01 06:35:46.170772586,checkout_view,control,mobile,organic,S_U000672_1782887746
E00007121,U003809,2026-07-08 13:23:39.839171464,checkout_error,control,tablet,direct,S_U003809_1783516915
E00016914,U009133,2026-07-04 05:59:35.643405256,payment_attempt,treatment,desktop,social,S_U009133_1783144595
E00018631,U010058,2026-07-12 17:25:07.671135404,payment_attempt,treatment,mobile,paid_search,S_U010058_1783875967
E00034486,U018736,2026-07-07 22:44:44.373115504,checkout_view,treatment,desktop,direct,S_U018736_1783464284
E00010669,U005719,2026-07-05 07:01:04.781906036,checkout_view,treatment,mobile,organic,S_U005719_1783234864
E00009309,U005006,2026-07-02 00:12:05.186382982,purchase,treatment,mobile,paid_search,S_U005006_1782950010
E00010364,U005560,2026-07-15 00:05:59.000000000,payment_attempt,treatment,mobile,social,S_U005560_1784073599
E00031853,U017313,2026-07-07 16:58:14.228760422,purchase,control,desktop,organic,S_U017313_1783442965
E00024747,U013420,2026-07-12 00:07:45.571666644,purchase,control,mobile,email,S_U013420_1783686845
E00007919,U004234,2026-07-10 17:07:40.431351636,payment_attempt,treatment,desktop,organic,S_U004234_1783702840
E00025020,U013577,2026-07-06 10:59:49.005074192,checkout_view,treatment,mobile,organic,S_U013577_1783335589
E00010046,U005382,2026-07-12 01:53:12.791869988,checkout_view,treatment,mobile,paid_search,S_U005382_1783821192
E00002743,U001481,2026-07-04 01:44:38.766903716,payment_attempt,treatment,mobile,paid_search,S_U001481_1783128878
E00021201,U011493,2026-07-12 03:38:49.740658818,payment_attempt,control,mobile,social,S_U011493_1783826749
E00019073,U010307,2026-07-10 21:02:44.737152322,payment_attempt,treatment,mobile,organic,S_U010307_1783716464
E00034173,U018571,2026-07-01 14:51:04.042969682,checkout_view,treatment,mobile,direct,S_U018571_1782917464
E00008698,U004663,2026-07-01 15:18:34.518679184,checkout_view,treatment,mobile,email,S_U004663_1782919114
E00032047,U017422,2026-07-10 11:11:23.114894354,checkout_view,control,mobile,paid_search,S_U017422_1783681883
E00004519,U002435,2026-07-01 16:52:49.909603026,checkout_view,control,mobile,organic,S_U002435_1782924769
E00013235,U007151,2026-07-06 07:34:47.106945538,purchase,control,mobile,paid_search,S_U007151_1783322504
E00015979,U008626,2026-07-07 19:12:16.208467624,payment_attempt,control,desktop,organic,S_U008626_1783450396
E00024088,U013078,2026-07-09 19:32:17.479001974,checkout_view,treatment,mobile,paid_search,S_U013078_1783625537
E00009555,U005131,2026-07-11 16:15:46.174886974,payment_attempt,control,mobile,email,S_U005131_1783785106
E00026846,U014591,2026-07-03 19:48:25.957629788,checkout_view,treatment,mobile,organic,S_U014591_1783108105
E00020584,U011164,2026-07-04 18:47:32.596672184,purchase,treatment,desktop,paid_search,S_U011164_1783190723
E00018009,U009731,2026-07-03 16:14:38.591289270,payment_attempt,treatment,mobile,paid_search,S_U009731_1783094438
E00000962,U000498,2026-07-05 15:26:51.199854434,payment_failure,treatment,desktop,paid_search,S_U000498_1783263991
E00027754,U015055,2026-07-02 04:37:24.157969544,checkout_error,control,mobile,email,S_U015055_1782966881
E00016299,U008801,2026-07-09 12:42:35.079553422,checkout_view,treatment,mobile,social,S_U008801_1783600955
E00007625,U004076,2026-07-09 12:32:12.494722306,payment_attempt,control,mobile,organic,S_U004076_1783599132
E00019856,U010740,2026-07-10 21:49:27.236134814,payment_attempt,control,mobile,organic,S_U010740_1783719267
E00012037,U006489,2026-07-01 03:34:24.692050906,payment_attempt,control,mobile,email,S_U006489_1782875964
E00031561,U017152,2026-07-06 20:20:54.809970972,checkout_view,treatment,mobile,social,S_U017152_1783369254
E00022785,U012355,2026-07-01 14:39:37.075398416,checkout_view,control,mobile,email,S_U012355_1782916777
E00013960,U007542,2026-07-04 01:37:08.300515668,checkout_view,treatment,desktop,direct,S_U007542_1783129028
E00017792,U009617,2026-07-11 00:45:43.430636542,checkout_view,treatment,desktop,organic,S_U009617_1783730743
E00009217,U004954,2026-07-10 07:12:06.084804132,checkout_view,control,desktop,paid_search,S_U004954_1783667526
E00024962,U013540,2026-07-01 16:09:01.519634220,payment_attempt,treatment,mobile,paid_search,S_U013540_1782921121
E00014902,U008058,2026-07-11 15:31:44.987318926,checkout_view,treatment,desktop,email,S_U008058_1783783904
E00036245,U019706,2026-07-14 23:59:59.000000000,checkout_view,control,mobile,paid_search,S_U019706_1784073599
E00029768,U016149,2026-07-03 18:46:42.715164948,payment_attempt,control,mobile,email,S_U016149_1783103142
E00024196,U013130,2026-07-11 13:31:40.663365708,checkout_view,control,desktop,direct,S_U013130_1783776700
E00029355,U015933,2026-07-01 11:59:59.182366656,payment_attempt,treatment,desktop,social,S_U015933_1782906179
E00023167,U012558,2026-07-07 03:37:58.134880936,checkout_view,control,mobile,direct,S_U012558_1783395478
E00027672,U015015,2026-07-03 01:58:25.724761268,purchase,treatment,mobile,organic,S_U015015_1783043470
E00027893,U015135,2026-07-09 22:39:01.063959344,payment_attempt,treatment,mobile,organic,S_U015135_1783636021
E00017971,U009712,2026-07-13 01:30:23.182061706,checkout_view,control,mobile,social,S_U009712_1783906223
E00016231,U008769,2026-07-04 01:47:45.830697952,checkout_view,control,desktop,direct,S_U008769_1783129665
E00003957,U002122,2026-07-14 03:08:20.009585613,checkout_error,treatment,mobile,email,S_U002122_1783998357
E00021525,U011671,2026-07-13 08:07:43.831641576,payment_attempt,treatment,tablet,paid_search,S_U011671_1783929403
E00026032,U014154,2026-07-10 14:19:46.889853488,payment_attempt,control,mobile,organic,S_U014154_1783691866
E00007775,U004158,2026-07-12 10:51:44.552939030,checkout_view,treatment,desktop,organic,S_U004158_1783853504
