order_id,user_id,experiment_group,purchase_timestamp,order_amount,order_status,status_update_timestamp
O0000058,U000196,treatment,2026-07-13 16:20:38.575566888,64.35,refunded,2026-07-19 16:20:38.575566888
O0000059,U000198,control,2026-07-14 10:23:21.341111616,132.07,completed,
O0000060,U000201,treatment,2026-07-08 22:42:02.210871292,61.83,completed,
O0000061,U000202,treatment,2026-07-06 09:20:40.227994313,131.83,completed,
O0000062,U000203,treatment,2026-07-05 03:54:48.459807046,167.65,completed,
O0000063,U000210,control,2026-07-14 17:30:36.607699274,73.27,completed,
O0000064,U000215,control,2026-07-12 08:45:51.055450818,115.81,completed,
O0000065,U000221,treatment,2026-07-05 21:33:27.938029832,120.29,completed,
O0000066,U000222,control,2026-07-07 22:40:05.763957186,166.06,completed,
O0000067,U000226,treatment,2026-07-07 10:52:33.690630630,67.67,completed,
O0000068,U000232,control,2026-07-06 02:09:03.764715930,56.39,refunded,2026-07-12 02:09:03.764715930
O0000069,U000239,control,2026-07-11 07:25:51.067499064,72.63,completed,
O0000070,U000249,control,2026-07-14 07:16:38.274127414,50.92,completed,
O0000071,U000251,treatment,2026-07-12 15:55:12.421763005,86.54,completed,
O0000072,U000253,control,2026-07-08 03:49:31.931612976,75.89,completed,
O0000073,U000257,control,2026-07-09 04:55:28.410595510,91.93,completed,
O0000074,U000258,control,2026-07-08 10:14:13.956486536,88.18,completed,
O0000075,U000259,control,2026-07-08 07:52:57.179061874,124.58,completed,
O0000076,U000262,control,2026-07-09 04:04:31.215399112,52.39,completed,
O0000077,U000263,treatment,2026-07-06 04:44:46.538499960,97.96,completed,
O0000078,U000264,control,2026-07-11 23:03:09.077104494,220.35,completed,
O0000079,U000266,treatment,2026-07-06 04:07:57.137626252,73.18,completed,
O0000080,U000269,control,2026-07-06 06:38:52.850733152,54.77,completed,
O0000081,U000270,treatment,2026-07-01 10:57:48.847228520,67.84,completed,
O0000082,U000274,control,2026-07-10 10:45:13.672678084,144.34,completed,
O0000083,U000279,treatment,2026-07-04 17:16:04.461099328,59.07,completed,
O0000084,U000281,treatment,2026-07-07 06:04:49.889078968,77.74,completed,
O0000085,U000289,treatment,2026-07-13 15:55:56.763504354,70.26,completed,
O0000086,U000290,control,2026-07-10 20:16:59.204280906,125.16,completed,
O0000087,U000296,control,2026-07-04 16:24:12.046520658,110.34,completed,
O0000088,U000299,control,2026-07-12 11:54:02.054279506,55.09,completed,
O0000089,U000301,control,2026-07-12 19:47:28.155683418,110.5,completed,
O0000090,U000306,treatment,2026-07-02 00:25:54.998480570,94.56,completed,
O0000091,U000309,control,2026-07-08 12:05:51.680088942,114.05,completed,
O0000092,U000314,control,2026-07-06 06:07:20.141131640,72.75,completed,
O0000093,U000319,treatment,2026-07-13 09:38:14.840656244,147.97,completed,
O0000094,U000324,treatment,2026-07-07 10:34:46.024052854,76.95,completed,
O0000095,U000325,control,2026-07-03 16:12:09.570475986,56.18,completed,
O0000096,U000331,treatment,2026-07-08 05:14:20.768115958,247.82,completed,
O0000097,U000336,treatment,2026-07-13 16:22:23.467369492,119.57,refunded,2026-07-19 16:22:23.467369492
O0000098,U000337,treatment,2026-07-03 06:52:51.229372194,82.66,completed,
O0000099,U000340,control,2026-07-14 21:24:04.673937406,51.4,completed,
O0000100,U000347,control,2026-07-01 02:23:20.266649010,117.33,completed,
O0000101,U000350,treatment,2026-07-04 00:18:06.467999292,98.42,completed,
O0000102,U000351,treatment,2026-07-12 10:08:58.439256948,196.83,completed,
O0000103,U000353,treatment,2026-07-14 21:39:06.951129040,60.81,completed,
O0000104,U000356,control,2026-07-09 19:35:21.578563508,88.68,completed,
O0000105,U000358,control,2026-07-14 12:14:45.327366680,69.32,completed,
O0000106,U000360,control,2026-07-14 22:21:50.086867718,112.09,completed,
O0000107,U000362,treatment,2026-07-09 01:57:07.415055226,176.93,completed,
O0000108,U000365,treatment,2026-07-12 09:36:53.233277934,108.23,completed,
O0000109,U000366,control,2026-07-10 05:12:44.536972746,75.52,completed,
O0000110,U000369,control,2026-07-13 07:41:50.206031552,107.99,completed,
O0000111,U000376,treatment,2026-07-10 15:41:12.671224616,77.75,completed,
O0000112,U000377,control,2026-07-01 04:54:37.631371406,85.55,completed,
O0000113,U000381,treatment,2026-07-13 08:12:37.578556242,130.41,completed,
O0000114,U000382,treatment,2026-07-06 20:20:06.634914284,67.42,completed,
O0000115,U000390,control,2026-07-13 08:21:06.828141546,79.91,completed,
O0000116,U000394,control,2026-07-13 12:45:51.416471754,54.44,completed,
O0000117,U000395,control,2026-07-08 05:01:56.057830437,82.4,completed,
O0000118,U000396,treatment,2026-07-06 19:00:38.603113819,133.34,completed,
O0000119,U000398,control,2026-07-03 00:03:14.141559488,97.41,refunded,2026-07-06 00:03:14.141559488
O0000120,U000401,control,2026-07-04 00:13:57.995846630,58.39,completed,
O0000121,U000402,control,2026-07-13 08:54:39.836962660,127.11,completed,
O0000122,U000405,treatment,2026-07-02 17:02:58.110128952,66.58,completed,
O0000123,U000407,treatment,2026-07-12 23:16:35.848489560,86.69,completed,
O0000124,U000408,control,2026-07-14 16:51:26.203986088,126.81,completed,
O0000125,U000409,treatment,2026-07-14 11:11:00.158214700,52.02,completed,
O0000126,U000410,control,2026-07-04 02:40:59.911608152,95.45,completed,
O0000127,U000412,control,2026-07-06 23:47:42.840882494,52.25,completed,
O0000128,U000416,control,2026-07-10 01:08:58.560311262,91.46,completed,
O0000129,U000419,treatment,2026-07-12 09:47:52.001039784,73.19,completed,
O0000130,U000429,control,2026-07-03 00:04:15.838738562,77.41,completed,
O0000131,U000438,control,2026-07-06 06:31:08.225172586,62.35,completed,
O0000132,U000444,control,2026-07-15 00:21:50.110217096,83.81,completed,
O0000133,U000445,control,2026-07-05 00:28:12.710848772,56.35,completed,
O0000134,U000448,treatment,2026-07-13 17:31:50.485674992,90.43,completed,
O0000135,U000449,treatment,2026-07-09 07:52:05.761023960,47.63,completed,
O0000136,U000451,treatment,2026-07-08 13:59:34.469088654,114.01,completed,
O0000137,U000452,treatment,2026-07-07 20:38:07.998351080,64.07,cancelled,2026-07-13 20:38:07.998351080
O0000138,U000453,treatment,2026-07-12 03:53:32.512695128,99.48,completed,
O0000139,U000460,treatment,2026-07-10 20:49:48.930182246,121.32,completed,
O0000140,U000464,control,2026-07-13 14:02:30.808366588,65.14,completed,
O0000141,U000471,treatment,2026-07-13 18:19:42.172924710,107.71,refunded,2026-07-19 18:19:42.172924710
O0000142,U000475,control,2026-07-13 17:58:04.888772822,66.16,completed,
O0000143,U000490,control,2026-07-11 10:25:22.995400052,49.69,completed,
O0000144,U000491,treatment,2026-07-15 00:31:34.901191034,93.88,completed,
O0000145,U000492,treatment,2026-07-12 22:56:08.792322056,73.65,completed,
O0000146,U000497,control,2026-07-12 12:00:31.288505420,69.3,refunded,2026-07-13 12:00:31.288505420
O0000147,U000499,treatment,2026-07-14 01:21:47.187887982,104.68,completed,
O0000148,U000500,control,2026-07-13 11:55:04.926937992,46.32,completed,
O0000149,U000501,treatment,2026-07-13 20:34:26.760974126,49.85,completed,
O0000150,U000505,treatment,2026-07-10 12:44:44.977306660,399.04,completed,
O0000151,U000509,treatment,2026-07-01 07:25:31.953281076,48.26,completed,
O0000152,U000511,treatment,2026-07-13 20:21:17.811699068,161.06,completed,
O0000153,U000515,treatment,2026-07-13 06:25:26.657417242,129.02,completed,
O0000154,U000529,treatment,2026-07-10 03:31:51.477513858,61.37,completed,
O0000155,U000532,control,2026-07-06 08:02:55.566476974,96.21,completed,
O0000156,U000533,treatment,2026-07-07 17:49:41.714187698,30.34,cancelled,2026-07-14 17:49:41.714187698
O0000157,U000535,treatment,2026-07-13 03:51:35.315881804,77.81,completed,
O0000158,U000544,control,2026-07-09 10:00:14.436658722,65.14,completed,
O0000159,U000551,control,2026-07-04 17:51:31.167174144,57.54,completed,
O0000160,U000556,control,2026-07-11 04:29:47.424231720,128.01,completed,
O0000161,U000560,treatment,2026-07-10 16:58:24.057451336,117.95,completed,
O0000162,U000561,control,2026-07-10 23:13:46.365110974,87.19,completed,
O0000163,U000565,treatment,2026-07-14 07:04:44.548897104,71.11,cancelled,2026-07-17 07:04:44.548897104
O0000164,U000570,treatment,2026-07-01 08:49:21.674655888,96.69,completed,
O0000165,U000571,control,2026-07-13 01:56:54.677140318,85.13,completed,
O0000166,U000575,treatment,2026-07-14 21:22:29.919734370,61.51,completed,
O0000167,U000576,control,2026-07-01 14:04:26.760741258,84.78,completed,
O0000168,U000588,treatment,2026-07-04 17:15:38.261699956,129.65,completed,
O0000169,U000591,treatment,2026-07-14 20:38:49.284483578,30.34,cancelled,2026-07-18 20:38:49.284483578
O0000170,U000597,control,2026-07-10 09:13:41.176763340,77.14,completed,
O0000171,U000599,control,2026-07-01 23:30:51.978377388,122.19,completed,
O0000172,U000601,treatment,2026-07-03 07:24:01.924810198,104.42,completed,
O0000173,U000602,treatment,2026-07-06 07:48:10.025062174,80.39,completed,
O0000174,U000605,control,2026-07-11 03:28:30.447755350,85.56,completed,
O0000175,U000606,treatment,2026-07-12 00:33:04.671044470,46.65,completed,
O0000176,U000611,treatment,2026-07-13 16:57:05.806778088,55.62,completed,
O0000177,U000612,control,2026-07-15 00:38:17.348869736,120.54,completed,
O0000178,U000614,control,2026-07-04 16:35:45.977451842,48.8,completed,
O0000179,U000618,control,2026-07-14 00:58:50.050899798,82.88,completed,
O0000180,U000623,treatment,2026-07-03 00:06:56.100798646,159.11,completed,
O0000181,U000624,treatment,2026-07-11 21:14:31.627305458,32.28,completed,
O0000182,U000629,control,2026-07-12 06:15:43.666276526,88.81,completed,
O0000183,U000633,control,2026-07-04 14:53:10.304262046,112.71,completed,
O0000184,U000641,treatment,2026-07-14 12:04:13.205465616,55.51,completed,
O0000185,U000649,treatment,2026-07-04 01:06:57.711871456,65.87,completed,
O0000186,U000659,treatment,2026-07-03 23:51:00.287328516,55.77,completed,
O0000187,U000672,treatment,2026-07-11 07:59:43.467154682,66.83,completed,
O0000188,U000673,control,2026-07-12 07:16:36.983899136,74.42,completed,
O0000189,U000678,treatment,2026-07-11 05:26:16.723851772,74.95,completed,
O0000190,U000682,control,2026-07-08 20:29:13.957408980,145.72,completed,
O0000191,U000686,treatment,2026-07-03 13:19:22.316960074,171.21,completed,
O0000192,U000687,treatment,2026-07-13 20:40:02.180902966,40.35,completed,
O0000193,U000690,treatment,2026-07-08 08:34:29.894230894,103.1,cancelled,2026-07-15 08:34:29.894230894
O0000194,U000703,control,2026-07-10 01:37:29.438148496,79.94,completed,
O0000195,U000707,control,2026-07-12 11:42:50.720997470,146.71,completed,
O0000196,U000708,control,2026-07-10 16:01:43.773922270,42.59,completed,
O0000197,U000711,control,2026-07-12 18:49:53.960794449,45.84,completed,
O0000198,U000714,treatment,2026-07-10 00:31:27.464950742,56.09,completed,
O0000199,U000716,control,2026-07-06 00:33:56.164265284,69.73,completed,
O0000200,U000718,treatment,2026-07-04 20:24:05.539161758,42.58,completed,
O0000201,U000723,control,2026-07-12 06:18:17.682632400,45.49,completed,
O0000202,U000725,treatment,2026-07-14 19:57:38.580914748,185.24,completed,
O0000203,U000730,treatment,2026-07-03 18:41:54.424958876,63.62,completed,
O0000204,U000732,control,2026-07-06 14:34:25.088246264,73.21,completed,
O0000205,U000733,treatment,2026-07-14 22:02:41.037730496,61.12,completed,
O0000206,U000737,treatment,2026-07-06 12:25:45.960504208,73.11,completed,
O0000207,U000741,control,2026-07-07 15:47:39.919562212,41.11,completed,
O0000208,U000746,control,2026-07-01 23:28:31.121308540,58.75,completed,
O0000209,U000749,treatment,2026-07-01 13:00:48.399168622,149.88,completed,
O0000210,U000754,control,2026-07-08 18:17:44.278184716,81.18,completed,
O0000211,U000764,treatment,2026-07-13 10:06:44.755820168,77.45,completed,
O0000212,U000766,control,2026-07-10 05:45:40.234432040,95.9,completed,
O0000213,U000769,treatment,2026-07-06 04:35:25.005038154,95.55,completed,
O0000214,U000771,treatment,2026-07-14 00:03:26.426829260,35.74,cancelled,2026-07-21 00:03:26.426829260
O0000215,U000773,control,2026-07-15 00:21:07.887243062,56.07,completed,
O0000216,U000775,control,2026-07-13 07:07:40.331760564,62.53,refunded,2026-07-14 07:07:40.331760564
O0000217,U000780,control,2026-07-07 04:15:33.544956114,66.72,completed,
O0000218,U000782,control,2026-07-04 12:59:58.305615750,66.02,completed,
O0000219,U000784,control,2026-07-05 23:07:54.687516016,95.39,completed,
O0000220,U000785,control,2026-07-10 13:58:06.505605940,52.02,completed,
O0000221,U000787,treatment,2026-07-08 06:32:04.625857808,96.61,completed,
O0000222,U000788,control,2026-07-14 02:45:37.431287822,86.28,completed,
O0000223,U000789,control,2026-07-09 08:52:45.974877836,56.44,refunded,2026-07-12 08:52:45.974877836
O0000224,U000790,control,2026-07-07 19:51:39.527314132,98.78,completed,
O0000225,U000799,treatment,2026-07-06 05:41:23.443585478,264.21,completed,
O0000226,U000809,control,2026-07-10 05:47:25.890484909,80.19,completed,
O0000227,U000812,control,2026-07-05 17:10:52.211144582,94.91,completed,
O0000228,U000816,control,2026-07-07 09:53:46.235880464,43.45,completed,
O0000229,U000820,control,2026-07-11 03:53:39.284711294,84.02,completed,
O0000230,U000821,control,2026-07-04 18:05:13.218588424,115.57,completed,
O0000231,U000824,control,2026-07-06 09:26:53.900690062,74.77,completed,
O0000232,U000826,control,2026-07-13 05:22:27.369187094,95.68,completed,
O0000233,U000838,control,2026-07-13 21:50:20.134846298,54.79,refunded,2026-07-15 21:50:20.134846298
O0000234,U000842,treatment,2026-07-13 08:40:31.849137944,65.12,cancelled,2026-07-18 08:40:31.849137944
O0000235,U000847,treatment,2026-07-12 21:09:16.823355962,101.14,completed,
O0000236,U000848,control,2026-07-02 23:09:56.695079040,74.44,completed,
O0000237,U000852,treatment,2026-07-13 23:23:43.059562238,59.16,completed,
O0000238,U000853,control,2026-07-14 14:35:16.833411671,51.1,completed,
O0000239,U000854,control,2026-07-07 10:06:57.601673736,118.61,completed,
O0000240,U000856,control,2026-07-10 00:16:32.650989292,35.62,completed,
O0000241,U000857,treatment,2026-07-14 10:23:03.774891770,48.48,completed,
O0000242,U000864,treatment,2026-07-13 04:47:43.715870688,72.02,completed,
O0000243,U000865,treatment,2026-07-10 17:48:31.882446488,101.7,completed,
O0000244,U000869,treatment,2026-07-07 15:32:13.532336104,82.69,completed,
O0000245,U000880,control,2026-07-06 23:16:45.061390488,48.66,completed,
O0000246,U000882,treatment,2026-07-07 05:56:49.631766656,181.66,completed,
O0000247,U000886,control,2026-07-15 00:35:54.285617952,42.65,cancelled,2026-07-22 00:35:54.285617952
O0000248,U000891,control,2026-07-10 03:07:01.103942354,62.03,completed,
O0000249,U000892,treatment,2026-07-14 07:29:13.091371818,49.6,completed,
O0000250,U000893,control,2026-07-08 06:22:45.490177168,127.31,completed,
O0000251,U000900,treatment,2026-07-12 02:22:33.765980062,133.8,completed,
O0000252,U000913,treatment,2026-07-12 12:17:15.948287976,105.94,completed,
O0000253,U000917,treatment,2026-07-04 16:08:53.858801630,62.35,completed,
O0000254,U000920,control,2026-07-09 20:55:05.773097426,37.62,completed,
O0000255,U000921,treatment,2026-07-10 02:14:23.972926598,67.43,completed,
O0000256,U000923,treatment,2026-07-09 15:32:29.575540266,56.65,completed,
O0000257,U000927,control,2026-07-05 11:55:25.160231866,54.75,completed,
O0000258,U000929,treatment,2026-07-14 06:29:28.477228004,67.89,completed,
O0000259,U000932,control,2026-07-03 19:01:36.613880066,81.32,refunded,2026-07-04 19:01:36.613880066
O0000260,U000937,control,2026-07-14 16:36:53.727114546,87.12,completed,
O0000261,U000938,treatment,2026-07-02 10:08:26.557522978,60.94,completed,
O0000262,U000940,control,2026-07-10 07:49:43.300928972,58.53,completed,
O0000263,U000941,treatment,2026-07-03 22:48:07.382560786,83.15,completed,
O0000264,U000950,control,2026-07-15 00:21:48.214270778,90.49,completed,
O0000265,U000952,treatment,2026-07-14 03:22:34.314544908,74.66,completed,
O0000266,U000964,treatment,2026-07-07 14:23:05.460807178,50.19,completed,
O0000267,U000969,treatment,2026-07-09 02:20:36.539995344,80.71,completed,
O0000268,U000973,treatment,2026-07-02 06:40:48.362846400,101.98,refunded,2026-07-04 06:40:48.362846400
O0000269,U000978,control,2026-07-01 15:41:58.785888714,43.97,completed,
O0000270,U000982,treatment,2026-07-02 16:31:48.253868046,91.86,completed,
O0000271,U000985,treatment,2026-07-14 13:04:02.024538844,73.94,completed,
O0000272,U000993,treatment,2026-07-09 11:28:46.097664016,67.43,completed,
O0000273,U000996,treatment,2026-07-05 22:49:03.250060364,167.98,completed,
O0000274,U000998,treatment,2026-07-04 16:59:58.073135158,109.63,refunded,2026-07-10 16:59:58.073135158
O0000275,U001000,control,2026-07-11 02:24:34.573259896,45.75,completed,
O0000276,U001001,control,2026-07-08 07:52:03.636212872,53.51,completed,
O0000277,U001003,control,2026-07-10 16:27:23.698056944,61.5,completed,
O0000278,U001010,treatment,2026-07-13 13:12:27.731756289,111.71,refunded,2026-07-14 13:12:27.731756289
O0000279,U001022,control,2026-07-11 17:41:55.421023766,45.65,completed,
O0000280,U001046,treatment,2026-07-13 18:16:37.712106768,60.52,completed,
O0000281,U001054,treatment,2026-07-03 09:46:52.708245120,68.95,completed,
O0000282,U001059,treatment,2026-07-08 05:04:38.490118250,51.65,completed,
O0000283,U001060,treatment,2026-07-09 14:46:40.022003292,243.62,completed,
O0000284,U001062,treatment,2026-07-10 18:49:27.421722901,139.97,completed,
O0000285,U001073,control,2026-07-13 09:01:57.404356362,92.47,completed,
O0000286,U001081,control,2026-07-08 21:38:29.089967532,237.64,completed,
O0000287,U001087,treatment,2026-07-13 22:01:17.272412870,44.0,completed,
O0000288,U001088,treatment,2026-07-01 11:15:16.926811038,94.54,cancelled,2026-07-03 11:15:16.926811038
O0000289,U001090,control,2026-07-04 21:12:11.455070404,104.56,completed,
O0000290,U001094,treatment,2026-07-13 12:52:14.940569348,58.34,completed,
O0000291,U001098,control,2026-07-10 23:57:42.385524050,47.17,completed,
O0000292,U001101,treatment,2026-07-09 16:42:53.926632742,138.58,completed,
O0000293,U001107,control,2026-07-06 19:50:32.377168194,233.83,completed,
O0000294,U001112,control,2026-07-10 02:30:12.045992932,40.16,completed,
O0000295,U001113,treatment,2026-07-06 01:00:47.946231766,105.1,completed,
O0000296,U001115,treatment,2026-07-01 21:10:48.978315206,51.58,completed,
O0000297,U001117,control,2026-07-12 20:28:17.259082752,73.93,completed,
O0000298,U001119,control,2026-07-13 18:15:44.521045884,62.83,refunded,2026-07-20 18:15:44.521045884
O0000299,U001128,treatment,2026-07-14 00:42:31.040483388,73.67,completed,
O0000300,U001129,treatment,2026-07-05 21:47:48.283173774,35.44,completed,
O0000301,U001136,treatment,2026-07-14 02:57:11.631420044,180.92,completed,
O0000302,U001146,treatment,2026-07-05 15:41:03.223464394,67.41,completed,
O0000303,U001161,control,2026-07-13 04:52:04.263638462,82.66,completed,
O0000304,U001162,control,2026-07-11 21:41:14.130185172,44.15,completed,
O0000305,U001170,control,2026-07-04 05:11:41.748923556,55.58,completed,
O0000306,U001175,treatment,2026-07-07 21:59:04.678154796,83.71,completed,
O0000307,U001179,control,2026-07-12 13:42:14.882429340,46.59,completed,
O0000308,U001181,control,2026-07-08 12:35:35.396468674,44.24,cancelled,2026-07-14 12:35:35.396468674
O0000309,U001184,treatment,2026-07-11 20:29:37.083515330,134.45,completed,
O0000310,U001187,treatment,2026-07-07 23:16:11.026324054,154.98,completed,
O0000311,U001189,treatment,2026-07-01 23:40:07.820283052,78.86,completed,
O0000312,U001191,treatment,2026-07-10 14:34:49.791431727,105.14,completed,
O0000313,U001194,control,2026-07-05 11:16:07.775826530,81.76,completed,
O0000314,U001196,treatment,2026-07-10 12:00:07.134723636,165.93,completed,
O0000315,U001199,treatment,2026-07-01 14:42:39.197963700,72.15,completed,
O0000316,U001203,treatment,2026-07-05 10:18:20.614881967,41.29,completed,
O0000317,U001218,treatment,2026-07-03 17:56:06.020923850,114.71,completed,
O0000318,U001219,control,2026-07-01 07:22:19.097378758,55.58,completed,
O0000319,U001227,control,2026-07-03 01:45:25.834455730,86.11,completed,
O0000320,U001231,treatment,2026-07-03 07:59:31.179756106,82.69,completed,
O0000321,U001234,control,2026-07-13 12:21:44.178211414,103.76,completed,
O0000322,U001235,treatment,2026-07-11 08:28:54.872872856,181.77,completed,
O0000323,U001238,treatment,2026-07-06 17:03:59.034248734,137.62,completed,
O0000324,U001242,treatment,2026-07-06 17:54:05.540674144,88.0,completed,
O0000325,U001243,treatment,2026-07-04 02:47:18.759209926,192.83,completed,
O0000326,U001245,treatment,2026-07-14 13:29:55.182533396,66.04,completed,
O0000327,U001249,control,2026-07-14 10:46:10.185744934,146.99,completed,
O0000328,U001250,treatment,2026-07-03 23:14:58.429512188,40.22,completed,
O0000329,U001252,control,2026-07-10 08:31:38.315059694,87.87,completed,
O0000330,U001258,treatment,2026-07-12 16:51:35.520782924,168.97,completed,
O0000331,U001260,treatment,2026-07-08 06:27:32.673542544,110.56,refunded,2026-07-15 06:27:32.673542544
O0000332,U001261,control,2026-07-14 20:56:46.451129200,60.31,completed,
O0000333,U001262,treatment,2026-07-06 02:00:47.859450886,112.98,completed,
O0000334,U001263,control,2026-07-07 02:18:09.793115668,68.04,completed,
O0000335,U001269,treatment,2026-07-08 23:48:32.386113528,83.43,completed,
O0000336,U001274,treatment,2026-07-05 09:50:35.238150030,61.32,completed,
O0000337,U001275,treatment,2026-07-14 19:32:42.839069998,66.64,completed,
O0000338,U001284,control,2026-07-11 00:02:28.544347856,99.52,completed,
O0000339,U001289,treatment,2026-07-13 00:47:17.773074364,59.16,completed,
O0000340,U001293,control,2026-07-08 21:44:48.722828622,119.5,completed,
O0000341,U001294,control,2026-07-01 09:02:18.243870972,64.94,completed,
O0000342,U001299,control,2026-07-14 21:58:10.441212434,120.75,completed,
O0000343,U001303,control,2026-07-01 12:19:14.199611966,76.68,completed,
O0000344,U001304,treatment,2026-07-01 08:39:42.900718786,81.97,refunded,2026-07-08 08:39:42.900718786
O0000345,U001305,treatment,2026-07-14 15:56:06.619347220,82.25,completed,
O0000346,U001313,treatment,2026-07-06 03:36:18.118090608,84.62,completed,
O0000347,U001317,treatment,2026-07-01 18:28:11.456503382,104.32,completed,
O0000348,U001324,treatment,2026-07-13 04:37:28.163864374,109.09,completed,
O0000349,U001331,treatment,2026-07-03 07:30:04.933294626,85.76,completed,
O0000350,U001337,control,2026-07-14 18:15:36.881056530,42.76,completed,
O0000351,U001346,treatment,2026-07-13 21:54:40.918999078,90.14,completed,
O0000352,U001355,control,2026-07-01 04:15:04.460002766,80.94,completed,
O0000353,U001358,control,2026-07-13 19:37:30.444275884,58.54,completed,
O0000354,U001361,control,2026-07-10 20:00:22.346007768,127.32,completed,
O0000355,U001363,control,2026-07-09 16:26:49.043125770,168.81,completed,
O0000356,U001368,control,2026-07-07 15:52:04.171236194,57.32,completed,
O0000357,U001371,treatment,2026-07-09 12:01:12.051564524,60.89,completed,
O0000358,U001373,control,2026-07-14 14:36:37.020318274,61.66,completed,
O0000359,U001374,control,2026-07-15 00:31:54.771650852,56.39,completed,
O0000360,U001377,treatment,2026-07-08 15:24:04.701261982,72.71,completed,
O0000361,U001385,treatment,2026-07-04 13:19:21.787891202,62.58,completed,
