user_id,experiment_group,assignment_timestamp,exposure_timestamp,exposure_date,device_at_exposure,traffic_source_at_exposure,user_type,payment_attempt_timestamp,purchase_timestamp,reached_checkout_view,reached_payment_attempt,reached_purchase,had_payment_failure,had_checkout_error,payment_succeeded,completion_minutes,order_id,order_amount,order_status,mature_order_followup,retained_revenue,refunded_or_cancelled
U000060,treatment,2026-07-07 05:32:15,2026-07-07 06:31:07.977273420,2026-07-07,mobile,organic,returning,2026-07-07 06:47:07.977273420,2026-07-07 06:51:07.232920092,1,1,1,0,0,1.0,19.987600296735764,O0000015,79.55,completed,1,79.55,0
U000062,treatment,2026-07-05 22:45:41,2026-07-06 03:30:12.140951366,2026-07-06,mobile,direct,returning,2026-07-06 03:33:12.140951366,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000063,treatment,2026-07-09 23:58:13,2026-07-10 02:46:02.680664710,2026-07-10,mobile,social,new,2026-07-10 02:48:02.680664710,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000064,treatment,2026-07-02 13:08:26,2026-07-02 17:47:01.630474250,2026-07-02,mobile,direct,returning,2026-07-02 18:00:01.630474250,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000065,control,2026-07-01 17:29:11,2026-07-01 19:53:50.886450266,2026-07-01,mobile,organic,returning,2026-07-01 20:05:50.886450266,2026-07-01 20:34:59.310870854,1,1,1,0,0,1.0,41.140417233109474,O0000017,81.0,completed,1,81.0,0
U000066,treatment,2026-07-05 07:00:35,2026-07-05 09:07:35.914788974,2026-07-05,tablet,direct,returning,2026-07-05 09:15:35.914788974,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000067,control,2026-07-13 08:55:00,2026-07-13 12:27:03.921453210,2026-07-13,desktop,social,returning,2026-07-13 12:45:03.921453210,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000068,control,2026-07-09 23:50:26,2026-07-10 04:20:58.643227610,2026-07-10,mobile,paid_search,returning,2026-07-10 04:33:58.643227610,2026-07-10 04:48:01.684033712,1,1,1,0,0,1.0,27.050683423876762,O0000018,45.56,cancelled,1,0.0,1
U000071,control,2026-07-06 15:44:32,2026-07-06 16:13:47.497338728,2026-07-06,desktop,organic,returning,2026-07-06 16:30:47.497338728,,1,1,0,1,0,0.0,,,,,0,0.0,0
U000072,control,2026-07-11 23:00:34,2026-07-12 00:41:25.260581896,2026-07-12,desktop,direct,new,2026-07-12 00:46:25.260581896,2026-07-12 00:57:12.253095358,1,1,1,0,0,1.0,15.783200114965439,O0000019,73.19,completed,1,73.19,0
U000073,treatment,2026-07-04 08:20:05,2026-07-04 10:29:04.684687010,2026-07-04,mobile,direct,new,,,1,0,0,0,0,,,,,,0,0.0,0
U000074,treatment,2026-07-09 22:55:35,2026-07-10 03:43:32.949072476,2026-07-10,desktop,direct,new,2026-07-10 04:03:32.949072476,2026-07-10 04:16:19.188519038,1,1,1,0,0,1.0,32.77066648006439,O0000020,154.97,completed,1,154.97,0
U000076,control,2026-07-12 19:05:20,2026-07-12 20:36:07.617574232,2026-07-12,tablet,paid_search,returning,2026-07-12 20:40:07.617574232,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000077,treatment,2026-07-13 01:12:01,2026-07-13 04:05:08.329451608,2026-07-13,desktop,paid_search,returning,2026-07-13 04:14:08.329451608,2026-07-13 04:23:33.663369220,1,1,1,0,0,1.0,18.42223361134529,O0000021,101.62,completed,1,101.62,0
U000078,treatment,2026-07-06 19:09:05,2026-07-06 20:49:56.359947152,2026-07-06,mobile,email,new,2026-07-06 20:53:56.359947152,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000079,control,2026-07-07 01:25:20,2026-07-07 03:04:28.736431838,2026-07-07,desktop,organic,new,2026-07-07 03:20:28.736431838,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000080,treatment,2026-07-01 16:20:09,2026-07-01 18:33:14.081483622,2026-07-01,desktop,organic,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000081,control,2026-07-05 02:06:28,2026-07-05 04:33:54.097875628,2026-07-05,mobile,paid_search,returning,2026-07-05 04:42:54.097875628,2026-07-05 04:55:50.081692360,1,1,1,0,0,1.0,21.933066844940186,O0000022,179.77,completed,1,179.77,0
U000082,control,2026-07-13 12:02:30,2026-07-13 19:26:47.516485332,2026-07-13,desktop,paid_search,returning,2026-07-13 19:47:47.516485332,2026-07-13 20:25:13.953276180,1,1,1,0,0,1.0,58.440617099404335,O0000023,95.22,completed,1,95.22,0
U000083,control,2026-07-01 22:59:18,2026-07-02 03:39:16.369706622,2026-07-02,mobile,direct,returning,2026-07-02 03:50:16.369706622,2026-07-02 04:00:58.812350706,1,1,1,0,0,1.0,21.70736700296402,O0000024,110.67,completed,1,110.67,0
U000084,treatment,2026-07-08 02:18:24,2026-07-08 06:07:42.733049766,2026-07-08,desktop,social,new,2026-07-08 06:16:42.733049766,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000085,treatment,2026-07-12 19:37:05,2026-07-12 23:03:16.848607850,2026-07-12,desktop,organic,new,2026-07-12 23:13:16.848607850,2026-07-12 23:33:55.013948150,1,1,1,0,0,1.0,30.636083409190178,O0000025,126.79,completed,1,126.79,0
U000086,treatment,2026-07-03 10:25:44,2026-07-03 14:04:39.960146786,2026-07-03,mobile,organic,returning,2026-07-03 14:08:39.960146786,2026-07-03 14:40:29.418358706,1,1,1,0,0,1.0,35.8243004232645,O0000026,136.99,completed,1,136.99,0
U000087,treatment,2026-07-13 00:09:58,2026-07-13 02:41:33.096811450,2026-07-13,mobile,organic,returning,2026-07-13 02:57:33.096811450,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000088,treatment,2026-07-02 04:58:25,2026-07-02 07:53:54.649823002,2026-07-02,mobile,paid_search,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000089,treatment,2026-07-05 10:55:27,2026-07-05 12:31:49.139533770,2026-07-05,desktop,social,returning,2026-07-05 12:35:49.139533770,2026-07-05 12:37:56.624940774,1,1,1,0,0,1.0,6.124749854207039,O0000027,92.06,completed,1,92.06,0
U000090,control,2026-07-10 08:13:22,2026-07-10 08:59:09.605818522,2026-07-10,tablet,paid_search,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000091,control,2026-07-11 08:32:40,2026-07-11 13:37:37.083485506,2026-07-11,desktop,email,new,,,1,0,0,0,0,,,,,,0,0.0,0
U000095,treatment,2026-07-06 15:41:40,2026-07-06 18:37:42.360331456,2026-07-06,desktop,social,returning,2026-07-06 18:43:42.360331456,2026-07-06 19:08:14.832374104,1,1,1,0,0,1.0,30.5411995947361,O0000028,184.8,completed,1,184.8,0
U000096,treatment,2026-07-12 21:52:37,2026-07-13 03:55:15.339038182,2026-07-13,mobile,direct,returning,2026-07-13 03:59:15.339038182,2026-07-13 04:02:40.758506050,1,1,1,0,0,1.0,7.423666566610336,O0000029,88.36,completed,1,88.36,0
U000097,control,2026-07-02 18:49:40,2026-07-02 21:01:43.568691274,2026-07-02,mobile,organic,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000098,control,2026-07-04 15:30:51,2026-07-04 16:58:32.071021626,2026-07-04,mobile,paid_search,returning,2026-07-04 17:22:32.071021626,2026-07-04 17:28:49.309018812,1,1,1,0,0,1.0,30.287299677729607,O0000030,159.56,completed,1,159.56,0
U000099,control,2026-07-07 07:17:06,2026-07-07 08:51:05.256634392,2026-07-07,mobile,email,returning,2026-07-07 09:10:05.256634392,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000100,control,2026-07-09 13:37:55,2026-07-09 14:03:40.042148908,2026-07-09,mobile,paid_search,new,2026-07-09 14:25:40.042148908,2026-07-09 14:30:55.694141836,1,1,1,0,0,1.0,27.260866686701775,O0000031,40.09,completed,1,40.09,0
U000101,treatment,2026-07-04 23:03:00,2026-07-05 01:37:09.211103232,2026-07-05,mobile,email,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000102,treatment,2026-07-02 12:44:34,2026-07-02 13:44:15.389175106,2026-07-02,mobile,organic,returning,2026-07-02 14:01:15.389175106,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000104,treatment,2026-07-05 17:37:03,2026-07-05 18:18:07.953551358,2026-07-05,mobile,paid_search,returning,2026-07-05 18:42:07.953551358,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000108,treatment,2026-07-13 23:17:40,2026-07-14 01:29:42.365503018,2026-07-14,desktop,paid_search,new,2026-07-14 01:40:42.365503018,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000109,treatment,2026-07-04 20:02:22,2026-07-04 20:57:07.090725946,2026-07-04,mobile,direct,returning,2026-07-04 21:05:07.090725946,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000110,treatment,2026-07-11 05:15:46,2026-07-11 07:27:56.968007614,2026-07-11,desktop,organic,returning,2026-07-11 07:30:56.968007614,,1,1,0,1,0,0.0,,,,,0,0.0,0
U000111,treatment,2026-07-06 06:45:28,2026-07-06 08:00:08.148112726,2026-07-06,desktop,organic,returning,2026-07-06 08:08:08.148112726,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000112,control,2026-07-13 00:16:37,2026-07-13 02:45:44.321517352,2026-07-13,mobile,social,returning,2026-07-13 02:47:44.321517352,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000113,control,2026-07-13 12:14:56,2026-07-13 20:04:48.280761902,2026-07-13,mobile,direct,returning,2026-07-13 20:24:48.280761902,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000114,treatment,2026-07-11 11:57:27,2026-07-11 13:08:02.215915398,2026-07-11,desktop,paid_search,returning,2026-07-11 13:14:02.215915398,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000115,control,2026-07-01 01:40:49,2026-07-01 10:41:43.739011990,2026-07-01,desktop,paid_search,returning,2026-07-01 11:01:43.739011990,2026-07-01 11:24:24.653441578,1,1,1,0,0,1.0,42.68189951777458,O0000033,92.53,refunded,1,0.0,1
U000116,treatment,2026-07-14 00:12:43,2026-07-14 06:05:14.845879258,2026-07-14,tablet,email,returning,2026-07-14 06:08:14.845879258,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000117,treatment,2026-07-04 06:00:34,2026-07-04 10:33:38.333409658,2026-07-04,mobile,social,new,2026-07-04 10:36:38.333409658,,1,1,0,1,0,0.0,,,,,0,0.0,0
U000118,treatment,2026-07-09 21:30:18,2026-07-09 22:58:31.937195508,2026-07-09,tablet,organic,returning,2026-07-09 23:20:31.937195508,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000119,treatment,2026-07-02 03:27:28,2026-07-02 05:01:35.419658860,2026-07-02,mobile,social,returning,2026-07-02 05:11:35.419658860,2026-07-02 05:39:21.466032796,1,1,1,0,0,1.0,37.767432779073715,O0000034,104.1,completed,1,104.1,0
U000120,treatment,2026-07-07 06:04:43,2026-07-07 08:29:55.610659186,2026-07-07,desktop,paid_search,returning,2026-07-07 08:45:55.610659186,2026-07-07 09:03:19.931699812,1,1,1,0,0,1.0,33.40535022318363,O0000035,50.07,refunded,1,0.0,1
U000121,treatment,2026-07-04 03:55:37,2026-07-04 04:46:04.620679000,2026-07-04,desktop,paid_search,returning,2026-07-04 05:02:04.620679000,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000124,control,2026-07-08 03:20:05,2026-07-08 07:01:19.897016030,2026-07-08,desktop,email,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000125,treatment,2026-07-04 00:20:10,2026-07-04 01:32:03.258891280,2026-07-04,mobile,direct,returning,2026-07-04 01:49:03.258891280,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000126,control,2026-07-10 03:22:48,2026-07-10 04:12:01.802300898,2026-07-10,mobile,organic,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000127,control,2026-07-08 11:06:40,2026-07-08 21:56:15.802817314,2026-07-08,desktop,direct,returning,2026-07-08 22:13:15.802817314,2026-07-08 22:20:23.381553064,1,1,1,0,0,1.0,24.126316532492638,O0000036,62.77,completed,1,62.77,0
U000128,control,2026-07-13 01:05:14,2026-07-13 06:21:05.830568072,2026-07-13,desktop,direct,returning,2026-07-13 06:27:05.830568072,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000129,control,2026-07-03 14:43:48,2026-07-03 19:24:34.672959414,2026-07-03,desktop,email,returning,2026-07-03 19:45:34.672959414,2026-07-03 20:24:31.952772648,1,1,1,0,0,1.0,59.954666420817375,O0000037,55.62,completed,1,55.62,0
U000130,control,2026-07-09 19:24:59,2026-07-09 22:41:03.059591618,2026-07-09,mobile,organic,returning,2026-07-09 22:45:03.059591618,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000131,treatment,2026-07-02 07:14:14,2026-07-02 11:36:04.307350076,2026-07-02,desktop,organic,returning,2026-07-02 11:51:04.307350076,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000132,control,2026-07-14 02:46:15,2026-07-14 08:28:25.782537834,2026-07-14,desktop,organic,new,,,1,0,0,0,0,,,,,,0,0.0,0
U000133,control,2026-07-08 17:07:48,2026-07-08 18:46:39.737877780,2026-07-08,mobile,email,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000134,control,2026-07-05 12:43:28,2026-07-05 14:34:58.806330208,2026-07-05,desktop,direct,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000135,control,2026-07-11 16:38:34,2026-07-11 19:12:19.689096136,2026-07-11,desktop,organic,new,,,1,0,0,0,0,,,,,,0,0.0,0
U000136,control,2026-07-07 01:14:45,2026-07-07 01:35:52.975397040,2026-07-07,desktop,paid_search,returning,2026-07-07 01:50:52.975397040,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000137,control,2026-07-11 20:05:39,2026-07-11 20:59:21.741500646,2026-07-11,desktop,paid_search,new,2026-07-11 21:16:21.741500646,2026-07-11 21:36:50.275075590,1,1,1,0,0,1.0,37.47555010020733,O0000038,74.85,completed,1,74.85,0
U000138,control,2026-07-08 03:13:21,2026-07-08 06:18:08.280343434,2026-07-08,mobile,paid_search,returning,2026-07-08 06:30:08.280343434,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000139,control,2026-07-09 14:02:56,2026-07-09 17:17:09.756266780,2026-07-09,mobile,paid_search,returning,2026-07-09 17:36:09.756266780,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000143,treatment,2026-07-01 05:16:02,2026-07-01 05:28:41.001231482,2026-07-01,desktop,paid_search,returning,2026-07-01 05:36:41.001231482,2026-07-01 05:46:37.951734560,1,1,1,0,0,1.0,17.949183136224747,O0000039,97.78,completed,1,97.78,0
U000145,treatment,2026-07-09 04:19:06,2026-07-09 05:05:49.914262266,2026-07-09,desktop,direct,returning,2026-07-09 05:16:49.914262266,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000147,control,2026-07-14 01:09:10,2026-07-14 03:30:18.231294681,2026-07-14,mobile,organic,returning,2026-07-14 03:34:18.231294681,2026-07-14 03:43:22.330729851,1,1,1,0,0,1.0,13.068333193659782,O0000040,40.13,completed,1,40.13,0
U000148,control,2026-07-07 18:48:39,2026-07-07 20:15:19.485552876,2026-07-07,desktop,direct,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000149,control,2026-07-14 01:32:48,2026-07-14 04:11:27.257305482,2026-07-14,desktop,organic,returning,2026-07-14 04:17:27.257305482,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000150,treatment,2026-07-08 00:28:28,2026-07-08 02:22:45.914754934,2026-07-08,desktop,email,returning,2026-07-08 02:35:45.914754934,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000151,treatment,2026-07-08 19:17:04,2026-07-08 21:39:12.635023336,2026-07-08,mobile,email,new,2026-07-08 21:44:12.635023336,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000153,treatment,2026-07-11 20:20:19,2026-07-12 04:41:48.616495306,2026-07-12,mobile,organic,new,2026-07-12 04:52:48.616495306,2026-07-12 04:56:08.419816330,1,1,1,0,0,1.0,14.330067113041878,O0000042,101.0,refunded,1,0.0,1
U000154,control,2026-07-12 08:58:12,2026-07-12 09:04:03.191763954,2026-07-12,mobile,organic,new,2026-07-12 09:18:03.191763954,2026-07-12 09:26:28.562634540,1,1,1,0,0,1.0,22.422850281000137,O0000043,91.09,completed,1,91.09,0
U000155,treatment,2026-07-07 03:38:17,2026-07-07 06:36:11.536606970,2026-07-07,mobile,email,new,2026-07-07 06:58:11.536606970,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000157,treatment,2026-07-08 14:56:20,2026-07-08 16:17:25.177829276,2026-07-08,mobile,organic,new,2026-07-08 16:24:25.177829276,,1,1,0,0,0,1.0,,,,,0,0.0,0
U000158,treatment,2026-07-04 06:25:37,2026-07-04 08:15:12.335892562,2026-07-04,tablet,direct,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000159,control,2026-07-13 22:59:20,2026-07-13 23:48:52.641908294,2026-07-13,mobile,paid_search,returning,,,1,0,0,0,0,,,,,,0,0.0,0
U000162,control,2026-07-11 12:30:12,2026-07-11 13:57:09.957890490,2026-07-11,desktop,paid_search,returning,2026-07-11 14:05:09.957890490,2026-07-11 14:21:05.026246950,1,1,1,0,0,1.0,23.917799592018127,O0000045,117.59,completed,1,117.59,0
U000163,control,2026-07-08 12:42:48,2026-07-08 17:45:51.637047492,2026-07-08,desktop,direct,new,2026-07-08 17:49:51.637047492,2026-07-08 18:06:43.524885816,1,1,1,0,0,1.0,20.864799991250038,O0000046,74.09,completed,1,74.09,0
